[7473659, 0.00010861694424330197]
[7478253, 0.00010861694424330197]
[7481373, 0.00010861694424330197]
[7540552, 0.00010861694424330197]
[7566008, 0.00010861694424330197]
[7568158, 0.00010861694424330197]
[7574468, 0.00010861694424330197]
[7603172, 0.00010861694424330197]
[7609909, 0.00010861694424330197]
[7611715, 0.00010861694424330197]
[7617191, 0.00010861694424330197]
[7619525, 0.00010861694424330197]
[7646655, 0.00010861694424330197]
[7654074, 0.00010861694424330197]
[7664194, 0.00010861694424330197]
[7675243, 0.00010861694424330197]
[7676127, 0.00010861694424330197]
[7696609, 0.00010861694424330197]
[7700274, 0.00010861694424330197]
[7700444, 0.00010861694424330197]
[7700597, 0.00010861694424330197]
[7710373, 0.00010861694424330197]
[7713402, 0.00010861694424330197]
[7717688, 0.00010861694424330197]
[7724603, 0.00010861694424330197]
[7738980, 0.00010861694424330197]
[7755355, 0.00010861694424330197]
[7761390, 0.00010861694424330197]
[7770005, 0.00010861694424330197]
[7773573, 0.00010861694424330197]
[7783869, 0.00010861694424330197]
[7802679, 0.00010861694424330197]
[7810577, 0.00010861694424330197]
[7815043, 0.00010861694424330197]
[7818703, 0.00010861694424330197]
[7821387, 0.00010861694424330197]
[7823376, 0.00010861694424330197]
[7824200, 0.00010861694424330197]
[7847069, 0.00010861694424330197]
[7847865, 0.00010861694424330197]
[7849527, 0.00010861694424330197]
[7888092, 0.00010861694424330197]
[7891889, 0.00010861694424330197]
[7910910, 0.00010861694424330197]
[7914580, 0.00010861694424330197]
[7920638, 0.00010861694424330197]
[7922348, 0.00010861694424330197]
[7936857, 0.00010861694424330197]
[7952845, 0.00010861694424330197]
[7968026, 0.00010861694424330197]
[7969426, 0.00010861694424330197]
[7970208, 0.00010861694424330197]
[8014966, 0.00010861694424330197]
[8024269, 0.00010861694424330197]
[8035940, 0.00010861694424330197]
[8042921, 0.00010861694424330197]
[8047277, 0.00010861694424330197]
[8050887, 0.00010861694424330197]
[8058160, 0.00010861694424330197]
[8075630, 0.00010861694424330197]
[8076181, 0.00010861694424330197]
[8082773, 0.00010861694424330197]
[8083685, 0.00010861694424330197]
[8089103, 0.00010861694424330197]
[8123007, 0.00010861694424330197]
[8128315, 0.00010861694424330197]
[8139083, 0.00010861694424330197]
[8154882, 0.00010861694424330197]
[8158175, 0.00010861694424330197]
[8158809, 0.00010861694424330197]
[8171342, 0.00010861694424330197]
[8172944, 0.00010861694424330197]
[8183036, 0.00010861694424330197]
[8185566, 0.00010861694424330197]
[8309587, 0.00010861694424330197]
[8309588, 0.00010861694424330197]
[8525796, 0.00010861694424330197]
[8527231, 0.00010861694424330197]
[8544551, 0.00010861694424330197]
[8546162, 0.00010861694424330197]
[8557181, 0.00010861694424330197]
[8596269, 0.00010861694424330197]
[8602762, 0.00010861694424330197]
[8619535, 0.00010861694424330197]
[8620924, 0.00010861694424330197]
[8624076, 0.00010861694424330197]
[8624094, 0.00010861694424330197]
[8624107, 0.00010861694424330197]
[8632166, 0.00010861694424330197]
[8644745, 0.00010861694424330197]
[8648892, 0.00010861694424330197]
[8649552, 0.00010861694424330197]
[8656943, 0.00010861694424330197]
[8669075, 0.00010861694424330197]
[8679539, 0.00010861694424330197]
[8682647, 0.00010861694424330197]
[8692753, 0.00010861694424330197]
[8709703, 0.00010861694424330197]
[8725895, 0.00010861694424330197]
[8726148, 0.00010861694424330197]
[8733730, 0.00010861694424330197]
[8740984, 0.00010861694424330197]
[8741132, 0.00010861694424330197]
[8741397, 0.00010861694424330197]
[8744402, 0.00010861694424330197]
[8744406, 0.00010861694424330197]
[8756999, 0.00010861694424330197]
[8757051, 0.00010861694424330197]
[8773610, 0.00010861694424330197]
[8774959, 0.00010861694424330197]
[8782820, 0.00010861694424330197]
[8786385, 0.00010861694424330197]
[8786396, 0.00010861694424330197]
[8786409, 0.00010861694424330197]
[8803817, 0.00010861694424330197]
[8803820, 0.00010861694424330197]
[8804993, 0.00010861694424330197]
[8815160, 0.00010861694424330197]
[8823200, 0.00010861694424330197]
[8826994, 0.00010861694424330197]
[8832646, 0.00010861694424330197]
[8841971, 0.00010861694424330197]
[8843827, 0.00010861694424330197]
[8843828, 0.00010861694424330197]
[8848934, 0.00010861694424330197]
[8854306, 0.00010861694424330197]
[8858183, 0.00010861694424330197]
[8867021, 0.00010861694424330197]
[8867586, 0.00010861694424330197]
[8871952, 0.00010861694424330197]
[8875468, 0.00010861694424330197]
[8878109, 0.00010861694424330197]
[8890929, 0.00010861694424330197]
[8891070, 0.00010861694424330197]
[8899655, 0.00010861694424330197]
[8905608, 0.00010861694424330197]
[8906609, 0.00010861694424330197]
[8912482, 0.00010861694424330197]
[8931004, 0.00010861694424330197]
[8937829, 0.00010861694424330197]
[8940032, 0.00010861694424330197]
[8958361, 0.00010861694424330197]
[8961669, 0.00010861694424330197]
[8971103, 0.00010861694424330197]
[8980023, 0.00010861694424330197]
[8987775, 0.00010861694424330197]
[9003488, 0.00010861694424330197]
[9006661, 0.00010861694424330197]
[9008509, 0.00010861694424330197]
[9013407, 0.00010861694424330197]
[9017975, 0.00010861694424330197]
[9018389, 0.00010861694424330197]
[9024330, 0.00010861694424330197]
[9041854, 0.00010861694424330197]
[9048987, 0.00010861694424330197]
[9058415, 0.00010861694424330197]
[9066363, 0.00010861694424330197]
[9066369, 0.00010861694424330197]
[9067471, 0.00010861694424330197]
[9070638, 0.00010861694424330197]
[9073026, 0.00010861694424330197]
[9086466, 0.00010861694424330197]
[9102150, 0.00010861694424330197]
[9113034, 0.00010861694424330197]
[9125900, 0.00010861694424330197]
[9129722, 0.00010861694424330197]
[9129729, 0.00010861694424330197]
[9130294, 0.00010861694424330197]
[9143263, 0.00010861694424330197]
[9143266, 0.00010861694424330197]
[9147873, 0.00010861694424330197]
[9153523, 0.00010861694424330197]
[9153535, 0.00010861694424330197]
[9165306, 0.00010861694424330197]
[9175590, 0.00010861694424330197]
[9178861, 0.00010861694424330197]
[9184634, 0.00010861694424330197]
[9185685, 0.00010861694424330197]
[9211985, 0.00010861694424330197]
[9213859, 0.00010861694424330197]
[9218507, 0.00010861694424330197]
[9218645, 0.00010861694424330197]
[9221969, 0.00010861694424330197]
[9221977, 0.00010861694424330197]
[9222173, 0.00010861694424330197]
[9224643, 0.00010861694424330197]
[9258256, 0.00010861694424330197]
[9258912, 0.00010861694424330197]
[9280168, 0.00010861694424330197]
[9295092, 0.00010861694424330197]
[9298817, 0.00010861694424330197]
[9300650, 0.00010861694424330197]
[9302273, 0.00010861694424330197]
[9305342, 0.00010861694424330197]
[9307253, 0.00010861694424330197]
[9307262, 0.00010861694424330197]
[9316155, 0.00010861694424330197]
[9326451, 0.00010861694424330197]
[9328480, 0.00010861694424330197]
[9329691, 0.00010861694424330197]
[9329722, 0.00010861694424330197]
[9335533, 0.00010861694424330197]
[9339270, 0.00010861694424330197]
[9340870, 0.00010861694424330197]
[9349544, 0.00010861694424330197]
[9370233, 0.00010861694424330197]
[9382479, 0.00010861694424330197]
[9403708, 0.00010861694424330197]
[9409253, 0.00010861694424330197]
[9411578, 0.00010861694424330197]
[9422368, 0.00010861694424330197]
[9436725, 0.00010861694424330197]
[9454617, 0.00010861694424330197]
[9461617, 0.00010861694424330197]
[9470130, 0.00010861694424330197]
[9470136, 0.00010861694424330197]
[9471175, 0.00010861694424330197]
[9482249, 0.00010861694424330197]
[9482681, 0.00010861694424330197]
[9484359, 0.00010861694424330197]
[9486483, 0.00010861694424330197]
[9520001, 0.00010861694424330197]
[9527138, 0.00010861694424330197]
[9529753, 0.00010861694424330197]
[9532343, 0.00010861694424330197]
[9536100, 0.00010861694424330197]
[9539408, 0.00010861694424330197]
[9546293, 0.00010861694424330197]
[9547165, 0.00010861694424330197]
[9547474, 0.00010861694424330197]
[9549720, 0.00010861694424330197]
[9559653, 0.00010861694424330197]
[9562469, 0.00010861694424330197]
[9577654, 0.00010861694424330197]
[9591838, 0.00010861694424330197]
